Id,FirstName,LastName,Email,Age,RegistrationDate,Country
1,John,Doe,john.doe@example.com,28,2023-01-15,USA
2,Jane,Smith,jane.smith@example.com,34,2023-02-20,Canada
3,Bob,Johnson,bob.johnson@example.com,45,2023-03-10,UK
4,Alice,Williams,alice.williams@example.com,29,2023-04-05,Australia
5,Charlie,Brown,charlie.brown@example.com,52,2023-05-12,USA
6,Diana,Miller,diana.miller@example.com,31,2023-06-18,Germany
7,Eva,Davis,eva.davis@example.com,27,2023-07-22,France
8,Frank,Wilson,frank.wilson@example.com,38,2023-08-30,Canada
9,Grace,Moore,grace.moore@example.com,26,2023-09-14,UK
10,Henry,Taylor,henry.taylor@example.com,41,2023-10-08,USA
11,Invalid,Customer,invalid.customer@example.com,150,2023-11-01,InvalidCountry
12,Young,User,young.user@example.com,16,2023-12-15,USA
13,Old,User,old.user@example.com,95,2023-01-05,Canada
